IP_INDEX	IP_LABEL	RECORDING_SESSION_LABEL	INDEX	AVERAGE_BLINK_DURATION	BLINK_COUNT	IP_DURATION	IP_END_TIME	IP_START_TIME	PUPIL_SIZE_MAX	PUPIL_SIZE_MAX_TIME	PUPIL_SIZE_MEAN	REACTION_TIME	RT_DEFINITION_LABEL	TRIAL_LABEL	ACCURACY	KEY_PRESSED	RT	block	coloridentifier	conditionidentifier	correctresponse	identifier	imagefile	practicestatus	quantidentifier
3	Baseline	subj1	1	.	0	500	7331247	7330747	1491.00	7331113.00	1467.46	.	.	Trial: 1	1	j	8574	1	blue	T	j	0.4	9_blue_7_yellow.jpg	practice	more_than_half
3	Baseline	subj1	2	.	0	500	7355167	7354667	1137.00	7355114.00	1088.01	.	.	Trial: 2	1	f	3033	1	blue	F	f	0.1	0_blue_16_yellow.jpg	practice	All
3	Baseline	subj1	3	.	0	500	7369770	7369270	1467.00	7369289.00	1375.50	.	.	Trial: 3	1	f	2458	1	yellow	F	f	0.3	9_blue_7_yellow.jpg	practice	Most
3	Baseline	subj1	4	.	0	500	7383988	7383488	1290.00	7383910.00	1232.01	.	.	Trial: 4	1	j	1873	1	yellow	T	j	0.2	16_blue_0_yellow.jpg	practice	No
3	Baseline	subj1	5	.	0	500	7430021	7429521	1667.00	7429880.00	1573.87	.	.	Trial: 5	1	f	8583	3	yellow	F	f	93	7_blue_9_yellow.jpg	experimental	even
3	Baseline	subj1	6	.	0	500	7450628	7450128	1342.00	7450626.00	1281.53	.	.	Trial: 6	1	f	2191	3	blue	F	f	134	2_blue_14_yellow.jpg	experimental	least_3
3	Baseline	subj1	7	.	0	0	7464114	7464114	.	.	.	.	.	Trial: 7	.	.	.	.	.	.	.	.	.	.	.
3	Baseline	subj1	8	.	0	0	7465622	7465622	.	.	.	.	.	Trial: 8	1	f	2191	3	yellow	T	j	156	3_blue_13_yellow.jpg	experimental	most_14
3	Baseline	subj1	9	206.00	1	500	7474498	7473998	1243.00	7474180.00	1229.16	.	.	Trial: 9	0	j	4551	3	yellow	F	f	164	10_blue_6_yellow.jpg	experimental	most_5
3	Baseline	subj1	10	.	0	500	7490940	7490440	1504.00	7490726.00	1477.39	.	.	Trial: 10	1	j	1839	3	blue	T	j	172	12_blue_4_yellow.jpg	experimental	Most
3	Baseline	subj1	11	188.00	1	500	7507400	7506900	1523.00	7506948.00	1236.25	.	.	Trial: 11	1	f	1404	3	yellow	F	f	191	14_blue_2_yellow.jpg	experimental	Most
3	Baseline	subj1	12	161.00	1	500	7521300	7520800	1369.00	7520839.00	1137.75	.	.	Trial: 12	0	j	1672	3	yellow	F	f	215	14_blue_2_yellow.jpg	experimental	more_than_half
3	Baseline	subj1	13	.	0	500	7535468	7534968	1252.00	7534969.00	1203.96	.	.	Trial: 13	1	j	7671	3	blue	T	j	77	12_blue_4_yellow.jpg	experimental	even
3	Baseline	subj1	14	.	0	500	7555473	7554973	1208.00	7555070.00	1189.46	.	.	Trial: 14	1	f	4122	3	yellow	F	f	118	10_blue_6_yellow.jpg	experimental	odd
3	Baseline	subj1	15	.	0	500	7571833	7571333	1251.00	7571811.00	1210.75	.	.	Trial: 15	1	j	5219	3	blue	T	j	100	9_blue_7_yellow.jpg	experimental	odd
3	Baseline	subj1	16	.	0	500	7590199	7589699	1237.00	7590142.00	1180.60	.	.	Trial: 16	1	f	1524	3	blue	F	f	182	3_blue_13_yellow.jpg	experimental	Most
3	Baseline	subj1	17	.	0	500	7603279	7602779	1214.00	7602959.00	1193.76	.	.	Trial: 17	1	f	2027	3	blue	F	f	210	2_blue_14_yellow.jpg	experimental	more_than_half
3	Baseline	subj1	18	165.00	1	500	7618468	7617968	1282.00	7618438.00	1222.52	.	.	Trial: 18	1	f	2046	3	yellow	F	f	120	14_blue_2_yellow.jpg	experimental	odd
3	Baseline	subj1	19	242.00	1	500	7633823	7633323	1335.00	7633818.00	1274.99	.	.	Trial: 19	0	f	2074	3	blue	T	j	147	5_blue_11_yellow.jpg	experimental	most_6
3	Baseline	subj1	20	.	0	500	7648075	7647575	1212.00	7647800.00	1190.41	.	.	Trial: 20	0	j	7385	3	blue	F	f	162	14_blue_2_yellow.jpg	experimental	most_13
3	Baseline	subj1	21	.	0	500	7667378	7666878	1085.00	7667374.00	1036.64	.	.	Trial: 21	1	f	3602	3	yellow	F	f	21	7_blue_9_yellow.jpg	experimental	All
3	Baseline	subj1	22	.	0	500	7683637	7683137	1281.00	7683313.00	1265.19	.	.	Trial: 22	1	f	1350	3	yellow	F	f	212	11_blue_5_yellow.jpg	experimental	more_than_half
3	Baseline	subj1	23	.	0	500	7696850	7696350	1000.00	7696817.00	933.31	.	.	Trial: 23	1	j	1561	3	yellow	T	j	178	4_blue_12_yellow.jpg	experimental	Most
3	Baseline	subj1	24	.	0	500	7711102	7710602	1111.00	7710990.00	1083.80	.	.	Trial: 24	1	j	3285	3	blue	T	j	194	10_blue_6_yellow.jpg	experimental	more_than_half
3	Baseline	subj1	25	203.00	1	500	7729384	7728884	1288.00	7728998.00	1269.35	.	.	Trial: 25	1	f	4467	3	yellow	F	f	119	12_blue_4_yellow.jpg	experimental	odd
3	Baseline	subj1	26	219.00	1	500	7745509	7745009	1140.00	7745404.00	1126.24	.	.	Trial: 26	1	j	3568	3	blue	T	j	54	13_blue_3_yellow.jpg	experimental	Some
3	Baseline	subj1	27	.	0	500	7761116	7760616	1149.00	7761115.00	1113.33	.	.	Trial: 27	0	f	4213	3	yellow	T	j	151	13_blue_3_yellow.jpg	experimental	most_4
3	Baseline	subj1	28	258.00	1	500	7779098	7778598	1185.00	7778655.00	1153.46	.	.	Trial: 28	1	f	5329	3	blue	F	f	112	10_blue_6_yellow.jpg	experimental	odd
3	Baseline	subj1	29	738.00	1	500	7797063	7796563	.	.	.	.	.	Trial: 29	0	f	2797	3	blue	T	j	122	4_blue_12_yellow.jpg	experimental	least_3
3	Baseline	subj1	30	.	0	500	7814108	7813608	1189.00	7814100.00	1128.27	.	.	Trial: 30	1	j	1772	3	blue	T	j	49	2_blue_14_yellow.jpg	experimental	Some
3	Baseline	subj1	31	158.00	1	500	7830516	7830016	959.00	7830516.00	879.05	.	.	Trial: 31	1	j	6630	3	yellow	T	j	104	5_blue_11_yellow.jpg	experimental	odd
3	Baseline	subj1	32	220.00	1	500	7849284	7848784	1104.00	7849186.00	1087.63	.	.	Trial: 32	1	f	4191	3	blue	F	f	87	7_blue_9_yellow.jpg	experimental	even
3	Baseline	subj1	33	194.00	1	500	7865292	7864792	1532.00	7864816.00	1217.15	.	.	Trial: 33	1	j	3704	3	yellow	T	j	57	7_blue_9_yellow.jpg	experimental	Some
3	Baseline	subj1	34	.	0	500	7880764	7880264	1184.00	7880759.00	1151.07	.	.	Trial: 34	1	j	1525	3	yellow	T	j	7	0_blue_16_yellow.jpg	experimental	All
3	Baseline	subj1	35	.	0	500	7895434	7894934	1079.00	7894942.00	1055.27	.	.	Trial: 35	1	f	1821	3	blue	F	f	61	0_blue_16_yellow.jpg	experimental	Some
3	Baseline	subj1	36	150.00	1	500	7911258	7910758	1217.00	7910762.00	942.23	.	.	Trial: 36	1	j	2132	3	yellow	T	j	59	12_blue_4_yellow.jpg	experimental	Some
3	Baseline	subj1	37	1158.00	1	500	7926396	7925896	.	.	.	.	.	Trial: 37	1	j	2440	3	blue	T	j	97	3_blue_13_yellow.jpg	experimental	odd
3	Baseline	subj1	38	.	0	500	7941650	7941150	1266.00	7941622.00	1193.42	.	.	Trial: 38	1	j	6853	3	blue	T	j	169	9_blue_7_yellow.jpg	experimental	Most
3	Baseline	subj1	39	.	0	500	7960234	7959734	1214.00	7960222.00	1190.95	.	.	Trial: 39	1	j	1557	3	blue	T	j	53	11_blue_5_yellow.jpg	experimental	Some
3	Baseline	subj1	40	.	0	500	7976175	7975675	1151.00	7975837.00	1132.79	.	.	Trial: 40	1	j	2250	3	yellow	T	j	55	3_blue_13_yellow.jpg	experimental	Some
3	Baseline	subj1	41	229.00	1	500	7991029	7990529	1041.00	7990529.00	1015.30	.	.	Trial: 41	1	f	1786	3	blue	F	f	62	0_blue_16_yellow.jpg	experimental	Some
