IP_INDEX	IP_LABEL	RECORDING_SESSION_LABEL	INDEX	AVERAGE_BLINK_DURATION	BLINK_COUNT	IP_DURATION	IP_END_TIME	IP_START_TIME	PUPIL_SIZE_MAX	PUPIL_SIZE_MAX_TIME	PUPIL_SIZE_MEAN	REACTION_TIME	RT_DEFINITION_LABEL	TRIAL_LABEL	ACCURACY	KEY_PRESSED	RT	block	coloridentifier	conditionidentifier	correctresponse	identifier	imagefile	practicestatus	quantidentifier
2	Encoding	subj1	1	97.00	1	3467	7334714	7331247	1470.00	7331247.00	1394.19	.	.	Trial: 1	1	j	8574	1	blue	T	j	0.4	9_blue_7_yellow.jpg	practice	more_than_half
2	Encoding	subj1	2	.	0	3467	7358634	7355167	1331.00	7358607.00	1236.73	.	.	Trial: 2	1	f	3033	1	blue	F	f	0.1	0_blue_16_yellow.jpg	practice	All
2	Encoding	subj1	3	147.00	1	3467	7373237	7369770	1512.00	7373226.00	1349.35	.	.	Trial: 3	1	f	2458	1	yellow	F	f	0.3	9_blue_7_yellow.jpg	practice	Most
2	Encoding	subj1	4	140.33	3	3467	7387455	7383988	1288.00	7384018.00	1164.27	.	.	Trial: 4	1	j	1873	1	yellow	T	j	0.2	16_blue_0_yellow.jpg	practice	No
2	Encoding	subj1	5	.	0	3467	7433488	7430021	1616.00	7431047.00	1532.91	.	.	Trial: 5	1	f	8583	3	yellow	F	f	93	7_blue_9_yellow.jpg	experimental	even
2	Encoding	subj1	6	.	0	3467	7454095	7450628	1466.00	7451182.00	1390.63	.	.	Trial: 6	1	f	2191	3	blue	F	f	134	2_blue_14_yellow.jpg	experimental	least_3
2	Encoding	subj1	7	.	0	0	7464114	7464114	.	.	.	.	.	Trial: 7	.	.	.	.	.	.	.	.	.	.	.
2	Encoding	subj1	8	.	0	0	7465622	7465622	.	.	.	.	.	Trial: 8	1	f	2191	3	yellow	T	j	156	3_blue_13_yellow.jpg	experimental	most_14
2	Encoding	subj1	9	.	0	3467	7477965	7474498	1389.00	7476217.00	1302.82	.	.	Trial: 9	0	j	4551	3	yellow	F	f	164	10_blue_6_yellow.jpg	experimental	most_5
2	Encoding	subj1	10	132.00	1	3468	7494408	7490940	1500.00	7493660.00	1410.59	.	.	Trial: 10	1	j	1839	3	blue	T	j	172	12_blue_4_yellow.jpg	experimental	Most
2	Encoding	subj1	11	.	0	3467	7510867	7507400	1413.00	7509584.00	1314.79	.	.	Trial: 11	1	f	1404	3	yellow	F	f	191	14_blue_2_yellow.jpg	experimental	Most
2	Encoding	subj1	12	.	0	3467	7524767	7521300	1273.00	7523804.00	1201.17	.	.	Trial: 12	0	j	1672	3	yellow	F	f	215	14_blue_2_yellow.jpg	experimental	more_than_half
2	Encoding	subj1	13	.	0	3467	7538935	7535468	1277.00	7536774.00	1205.53	.	.	Trial: 13	1	j	7671	3	blue	T	j	77	12_blue_4_yellow.jpg	experimental	even
2	Encoding	subj1	14	.	0	3468	7558941	7555473	1257.00	7556992.00	1183.20	.	.	Trial: 14	1	f	4122	3	yellow	F	f	118	10_blue_6_yellow.jpg	experimental	odd
2	Encoding	subj1	15	.	0	3467	7575300	7571833	1374.00	7575103.00	1263.12	.	.	Trial: 15	1	j	5219	3	blue	T	j	100	9_blue_7_yellow.jpg	experimental	odd
2	Encoding	subj1	16	.	0	3467	7593666	7590199	1269.00	7591272.00	1166.60	.	.	Trial: 16	1	f	1524	3	blue	F	f	182	3_blue_13_yellow.jpg	experimental	Most
2	Encoding	subj1	17	190.00	1	3468	7606747	7603279	1422.00	7604667.00	1299.42	.	.	Trial: 17	1	f	2027	3	blue	F	f	210	2_blue_14_yellow.jpg	experimental	more_than_half
2	Encoding	subj1	18	.	0	3467	7621935	7618468	1338.00	7620288.00	1283.86	.	.	Trial: 18	1	f	2046	3	yellow	F	f	120	14_blue_2_yellow.jpg	experimental	odd
2	Encoding	subj1	19	.	0	3467	7637290	7633823	1424.00	7635924.00	1354.86	.	.	Trial: 19	0	f	2074	3	blue	T	j	147	5_blue_11_yellow.jpg	experimental	most_6
2	Encoding	subj1	20	.	0	3467	7651542	7648075	1369.00	7650076.00	1261.59	.	.	Trial: 20	0	j	7385	3	blue	F	f	162	14_blue_2_yellow.jpg	experimental	most_13
2	Encoding	subj1	21	118.00	1	3467	7670845	7667378	1373.00	7670822.00	1198.19	.	.	Trial: 21	1	f	3602	3	yellow	F	f	21	7_blue_9_yellow.jpg	experimental	All
2	Encoding	subj1	22	.	0	3467	7687104	7683637	1265.00	7683643.00	1203.14	.	.	Trial: 22	1	f	1350	3	yellow	F	f	212	11_blue_5_yellow.jpg	experimental	more_than_half
2	Encoding	subj1	23	274.00	1	3468	7700318	7696850	1118.00	7697547.00	1024.76	.	.	Trial: 23	1	j	1561	3	yellow	T	j	178	4_blue_12_yellow.jpg	experimental	Most
