IP_INDEX,IP_LABEL,RECORDING_SESSION_LABEL,INDEX,AVERAGE_BLINK_DURATION,BLINK_COUNT,IP_DURATION,IP_END_TIME,IP_START_TIME,PUPIL_SIZE_MAX,PUPIL_SIZE_MAX_TIME,PUPIL_SIZE_MEAN,REACTION_TIME,RT_DEFINITION_LABEL,TRIAL_LABEL,ACCURACY,KEY_PRESSED,RT,block,coloridentifier,conditionidentifier,correctresponse,identifier,imagefile,practicestatus,quantidentifier
1,Verification,subj1,1,297.8,5,8575,7343336,7334761,1987,7338517,1272.56,.,.,Trial: 1,1,j,8574,1,blue,T,j,0.4,9_blue_7_yellow.jpg,practice,more_than_half
1,Verification,subj1,2,75,2,3034,7361714,7358680,2032,7360720,1290.68,.,.,Trial: 2,1,f,3033,1,blue,F,f,0.1,0_blue_16_yellow.jpg,practice,All
1,Verification,subj1,3,.,0,2459,7375742,7373283,1534,7374205,1374.35,.,.,Trial: 3,1,f,2458,1,yellow,F,f,0.3,9_blue_7_yellow.jpg,practice,Most
1,Verification,subj1,4,.,0,1874,7389375,7387501,1421,7389267,1321.84,.,.,Trial: 4,1,j,1873,1,yellow,T,j,0.2,16_blue_0_yellow.jpg,practice,No
1,Verification,subj1,5,658,1,8585,7442119,7433534,2034,7441458,1221.76,.,.,Trial: 5,1,f,8583,3,yellow,F,f,93,7_blue_9_yellow.jpg,experimental,even
1,Verification,subj1,6,.,0,2192,7456334,7454142,1434,7456333,1309.78,.,.,Trial: 6,1,f,2191,3,blue,F,f,134,2_blue_14_yellow.jpg,experimental,least_3
1,Verification,subj1,7,.,0,0,7464114,7464114,.,.,.,.,.,Trial: 7,.,.,.,.,.,.,.,.,.,.,.
1,Verification,subj1,8,.,0,0,7465622,7465622,.,.,.,.,.,Trial: 8,1,f,2191,3,yellow,T,j,156,3_blue_13_yellow.jpg,experimental,most_14
1,Verification,subj1,9,.,0,4552,7482563,7478011,1350,7482515,1168.23,.,.,Trial: 9,0,j,4551,3,yellow,F,f,164,10_blue_6_yellow.jpg,experimental,most_5
1,Verification,subj1,10,167,1,1840,7496294,7494454,1434,7494475,1328.62,.,.,Trial: 10,1,j,1839,3,blue,T,j,172,12_blue_4_yellow.jpg,experimental,Most
1,Verification,subj1,11,.,0,1405,7512319,7510914,1476,7512319,1372.45,.,.,Trial: 11,1,f,1404,3,yellow,F,f,191,14_blue_2_yellow.jpg,experimental,Most
1,Verification,subj1,12,.,0,1673,7526487,7524814,1434,7525856,1345.77,.,.,Trial: 12,0,j,1672,3,yellow,F,f,215,14_blue_2_yellow.jpg,experimental,more_than_half
1,Verification,subj1,13,.,0,7673,7546654,7538981,1325,7546643,1160.66,.,.,Trial: 13,1,j,7671,3,blue,T,j,77,12_blue_4_yellow.jpg,experimental,even
1,Verification,subj1,14,.,0,4124,7563110,7558986,1246,7563096,1105.49,.,.,Trial: 14,1,f,4122,3,yellow,F,f,118,10_blue_6_yellow.jpg,experimental,odd
1,Verification,subj1,15,.,0,5220,7580566,7575346,1321,7575781,1162.07,.,.,Trial: 15,1,j,5219,3,blue,T,j,100,9_blue_7_yellow.jpg,experimental,odd
