IP_INDEX,IP_LABEL,RECORDING_SESSION_LABEL,INDEX,BLINK_COUNT,TRIAL_LABEL,block,coloridentifier,conditionidentifier,imagefile,quantidentifier,practicestatus,IP_START_TIME,PUPIL_SIZE_MAX,PUPIL_SIZE_MEAN,PUPIL_SIZE_MAX_TIME,PUPIL_SIZE_MAX_X,PUPIL_SIZE_MAX_Y,REACTION_TIME,PUPIL_SIZE_MIN,PUPIL_SIZE_MIN_TIME,PUPIL_SIZE_MIN_X,PUPIL_SIZE_MIN_Y,correctresponse,ACCURACY,KEY_PRESSED,RT,audiopred
2,Image,subj2,1,0,Trial: 1,1,yellow,T,16_blue_0_yellow.jpg,No,practice,18420678,1421,1186.73,18422006,636.6,935.7,.,1064,18420848,576.4,286,j,1,j,1413,are_yellow.wav
2,Image,subj2,2,0,Trial: 2,1,blue,T,9_blue_7_yellow.jpg,more_than_half,practice,18440216,1417,1284.09,18446372,610.4,375.3,.,1163,18444980,718.5,427.6,j,1,j,6317,are_blue.wav
2,Image,subj2,3,0,Trial: 3,1,yellow,F,9_blue_7_yellow.jpg,Most,practice,18461743,1449,1295.63,18463702,483,462.5,.,1171,18461850,468.1,408.5,f,1,f,2174,are_yellow.wav
2,Image,subj2,4,0,Trial: 4,1,blue,F,0_blue_16_yellow.jpg,All,practice,18477919,1354,1293.58,18477918,512.1,288.3,.,1228,18478562,498.4,355.8,f,1,f,964,are_blue.wav
2,Image,subj2,5,0,Trial: 5,3,yellow,F,10_blue_6_yellow.jpg,odd,experimental,18506354,1428,1342.64,18508096,591.4,297.2,.,1242,18507032,618.7,264.3,f,1,f,3242,are_yellow.wav
2,Image,subj2,6,0,Trial: 6,3,blue,T,16_blue_0_yellow.jpg,All,experimental,18526996,1322,1296.14,18527928,403.9,312.5,.,1266,18526996,475.8,334.2,j,1,j,959,are_blue.wav
2,Image,subj2,7,0,Trial: 7,3,yellow,T,0_blue_16_yellow.jpg,All,experimental,18544509,1423,1372.67,18545414,492.9,328.8,.,1337,18545038,482.5,340.2,j,1,j,909,are_yellow.wav
2,Image,subj2,8,0,Trial: 8,3,yellow,F,14_blue_2_yellow.jpg,odd,experimental,18559814,1451,1247.19,18561500,581.5,355.3,.,1146,18560390,391.1,230.1,f,1,f,1693,are_yellow.wav
2,Image,subj2,9,0,Trial: 9,3,blue,T,3_blue_13_yellow.jpg,odd,experimental,18574049,1327,1235.59,18575312,496.2,491,.,1162,18574726,591.7,319.8,j,1,j,1289,are_blue.wav
2,Image,subj2,10,0,Trial: 10,3,blue,F,4_blue_12_yellow.jpg,more_than_half,experimental,18587966,1430,1331.71,18587966,508,312.1,.,1206,18588638,535.3,371.3,f,1,f,1933,are_blue.wav
2,Image,subj2,11,0,Trial: 11,3,yellow,T,12_blue_4_yellow.jpg,Some,experimental,18602150,1358,1283.42,18602418,519.8,319.9,.,1211,18602946,530,194.9,j,1,j,1117,are_yellow.wav
2,Image,subj2,12,0,Trial: 12,3,blue,T,11_blue_5_yellow.jpg,Some,experimental,18616368,1290,1126.27,18617802,420.1,326.7,.,1036,18616888,581.2,225.8,j,1,j,1440,are_blue.wav
2,Image,subj2,13,0,Trial: 13,3,yellow,T,5_blue_11_yellow.jpg,odd,experimental,18630368,1396,1254.35,18634580,386.6,552.2,.,1161,18632742,680.2,351,j,1,j,4461,are_yellow.wav
2,Image,subj2,14,0,Trial: 14,3,blue,T,9_blue_7_yellow.jpg,odd,experimental,18647380,1395,1266.28,18650922,282.4,433.4,.,997,18647532,488.5,324.7,j,1,j,3773,are_blue.wav
2,Image,subj2,15,1,Trial: 15,3,yellow,T,13_blue_3_yellow.jpg,most_4,experimental,18663990,1464,1347.63,18668172,522.5,294.5,.,952,18666696,535.6,734.4,j,0,f,4930,are_yellow.wav
2,Image,subj2,16,0,Trial: 16,3,yellow,F,7_blue_9_yellow.jpg,even,experimental,18682273,1280,1157.6,18685936,394.3,339.5,.,992,18682690,341.1,245.8,f,1,f,3663,are_yellow.wav
2,Image,subj2,17,0,Trial: 17,3,blue,F,13_blue_3_yellow.jpg,even,experimental,18700053,1440,1289.75,18705396,334.3,519,.,1097,18700080,475.4,347.2,f,1,f,5468,are_blue.wav
2,Image,subj2,18,0,Trial: 18,3,yellow,F,14_blue_2_yellow.jpg,more_than_half,experimental,18718102,1332,1286.88,18719324,524.2,328.1,.,1226,18718104,482.9,392.3,f,1,f,1227,are_yellow.wav
2,Image,subj2,19,0,Trial: 19,3,yellow,T,3_blue_13_yellow.jpg,Some,experimental,18731751,1387,1250.2,18736288,481.6,326.5,.,1067,18732362,637.8,214.4,j,1,j,4769,are_yellow.wav
2,Image,subj2,20,0,Trial: 20,3,yellow,F,10_blue_6_yellow.jpg,most_5,experimental,18748829,1542,1415.04,18753122,524,312.8,.,1298,18748840,498.9,370.8,f,1,f,4835,are_yellow.wav
2,Image,subj2,21,0,Trial: 21,3,blue,F,0_blue_16_yellow.jpg,Some,experimental,18765775,1490,1377.57,18767510,435.3,364.1,.,1259,18766442,405.3,364,f,1,f,1892,are_blue.wav
2,Image,subj2,22,2,Trial: 22,3,blue,T,5_blue_11_yellow.jpg,most_6,experimental,18779993,1621,1452.59,18790852,511.6,353.2,.,993,18788904,614.3,658.2,j,1,j,10976,are_blue.wav
2,Image,subj2,23,0,Trial: 23,3,yellow,T,2_blue_14_yellow.jpg,Most,experimental,18803110,1146,1108.3,18804124,557.5,211.9,.,1079,18803684,566.4,212.8,j,1,j,1014,are_yellow.wav
2,Image,subj2,24,0,Trial: 24,3,blue,F,10_blue_6_yellow.jpg,odd,experimental,18816173,1386,1242.6,18821294,461.7,397,.,1127,18816766,420.8,340.1,f,1,f,5132,are_blue.wav
2,Image,subj2,25,0,Trial: 25,3,yellow,F,14_blue_2_yellow.jpg,Most,experimental,18833736,1300,1204.63,18834972,484.5,386.6,.,1144,18833740,488.9,326.9,f,1,f,1247,are_yellow.wav
